pl_name,pl_rade,st_teff,st_rad,st_mass
HAT-P-33 b,20.73665,6446.0,1.79,1.82
HAT-P-34 b,13.417173,6442.0,1.53,1.392
Kepler-1735 b,1.19429134,3975.0,0.509,0.535
HAT-P-35 b,14.930388,6096.0,1.435,1.236
HAT-P-36 b,14.313893,5620.0,1.041,1.03
HAT-P-37 b,13.204,5500.0,0.877,0.929
HAT-P-3 b,10.53646,5185.0,0.87,1.06
HAT-P-4 b,14.28,5860.0,1.596,1.248
HAT-P-5 b,13.56289,5960.0,1.12,1.04
HAT-P-6 b,16.58932,6570.0,1.62,1.79
HAT-P-8 b,15.6926,6200.0,1.57,1.27
HAT-P-9 b,15.614137,6350.0,1.338,1.281
Kepler-765 b,2.43,5901.0,1.06,1.05
Kepler-763 d,1.67,4999.0,0.843,0.8
HD 118203 b,12.778238,5742.0,2.04,1.27
Kepler-744 b,1.62,5594.0,0.93,0.94
Kepler-764 b,1.64,5557.0,0.89,0.92
HD 136352 b,1.664,5664.0,1.058,0.87
HD 136352 c,2.916,5664.0,1.058,0.87
HD 136352 d,2.562,5664.0,1.058,0.87
HD 149026 b,8.29466,6179.0,1.41,1.42
Kepler-762 b,12.68,5944.0,1.08,1.06
HD 17156 b,12.26262489,6046.0,1.517,1.285
HD 189733 b,12.66617,5052.0,0.75,0.79
Kepler-1713 b,1.71673535,6477.0,1.459,1.3
Kepler-781 b,2.89,5162.0,0.78,0.81
Kepler-783 c,2.33153725,5411.49,0.872088,0.94
HD 209458 b,15.58051,6091.0,1.19,1.23
Kepler-1738 b,2.82472883,6063.0,1.001,1.079
Kepler-1737 b,5.395,5043.0,0.881,0.834
Kepler-1739 b,2.43056832,5757.0,0.762,0.865
HD 80606 b,11.56766808,5565.0,1.05,1.05
Kepler-782 b,3.21,5867.0,1.01,0.98
HD 97658 b,2.12,5212.0,0.728,0.85
Kepler-746 b,1.11,5418.0,0.93,0.91
Lupus-TR-3 b,9.976,5000.0,0.82,0.87
OGLE2-TR-L9 b,18.046,6933.0,1.53,1.52
OGLE-TR-10 b,14.011,5950.0,1.17,1.14
OGLE-TR-113 b,12.251,4790.0,0.774,0.779
OGLE-TR-132 b,13.45,6210.0,1.32,1.305
OGLE-TR-182 b,12.666,5924.0,1.14,1.14
OGLE-TR-211 b,15.244,6325.0,1.64,1.33
OGLE-TR-56 b,15.278,6050.0,1.363,1.228
Kepler-743 b,1.21,5486.0,0.85,0.94
Qatar-1 b,12.811887,5013.0,0.803,0.838
Qatar-2 b,14.056,4645.0,0.776,0.743
TrES-1 b,12.66617,5230.0,0.85,1.04
TrES-3 b,14.975,5650.0,0.829,0.928
TrES-4 b,18.04649,6200.0,1.66,1.08
TrES-5 b,13.383546,5171.0,0.868,0.901
WASP-10 b,12.106,4675.0,0.698,0.75
WASP-11 b,12.44199,4800.0,0.89,1.42
WASP-12 b,22.02564708,6265.0,1.69,1.325
WASP-13 b,13.67498,5950.0,1.37,0.72
WASP-14 b,15.46842,6475.0,1.4,1.62
WASP-15 b,15.80469,6300.0,1.48,1.18
WASP-16 b,13.67498,5700.0,1.14,1.78
WASP-17 b,20.96083,6550.0,1.49,2.28
WASP-18 b,13.89913607,6432.0,1.319,1.294
WASP-19 b,15.86070769,5616.0,1.006,0.965
Kepler-747 b,5.27,5096.0,0.78,0.82
WASP-22 b,13.78707,6000.0,1.24,1.46
WASP-24 b,15.46842,6075.0,1.42,1.43
WASP-25 b,13.80946422,5697.0,0.884,0.962
WASP-26 b,13.56289,6034.0,1.22,0.86
WASP-29 b,8.63093,4800.0,0.79,0.77
WASP-2 b,12.116929,5180.0,0.866,0.895
WASP-31 b,17.363,6302.0,1.252,1.163
WASP-32 b,10.76064,6140.0,0.95,0.72
WASP-33 b,17.855937,7430.0,1.444,1.495
WASP-34 b,11.209,5700.0,0.91,0.96
WASP-35 b,14.5717,5990.0,1.08,1.05
WASP-36 b,14.874343,5959.0,0.985,1.081
WASP-37 b,13.002,5800.0,1.003,0.925
WASP-38 b,13.78707,6180.0,1.52,1.76
WASP-39 b,14.336311,5485.0,0.939,0.913
WASP-3 b,15.91678,6400.0,1.44,1.62
WASP-41 b,12.3299,5545.0,0.83,0.81
WASP-43 b,10.424,4400.0,0.6,0.58
WASP-44 b,12.3299,5420.0,0.906,0.935
WASP-45 b,10.603714,5150.0,0.855,0.85
WASP-46 b,13.159366,5600.0,0.858,0.828
WASP-48 b,16.8135,5920.0,1.58,0.88
WASP-50 b,13.069694,5400.0,0.843,0.892
WASP-5 b,12.184,5700.0,1.029,0.96
WASP-6 b,12.5428494,5438.0,0.79,0.854
WASP-7 b,14.90797,6400.0,1.432,1.276
WASP-8 b,12.66617,5600.0,1.03,1.34
XO-1 b,12.77826,5750.0,0.88,0.88
XO-3 b,14.79585452,6970.0,1.523,1.449
XO-4 b,14.01125,6397.0,1.45,1.1
XO-5 b,12.78,5430.0,1.13,1.04
CoRoT-16 b,13.11,5650.0,1.19,1.098
Kepler-471 b,14.96,6733.0,1.8,1.49
Kepler-749 b,3.1,5009.0,0.75,0.79
WASP-23 b,10.783,5150.0,0.765,0.78
HATS-1 b,14.594,5870.0,1.038,0.986
WASP-78 b,21.63337,6100.0,2.46,1.87
Kepler-750 b,3.07,6160.0,1.23,1.15
WASP-79 b,17.14974047,6600.0,1.51,1.39
KELT-1 b,12.442,6516.0,1.471,1.335
KELT-2 A b,15.13215,6327.0,1.93,1.54
Kepler-36 b,1.498,5979.0,1.634,1.034
GJ 3470 b,4.57,3600.0,0.547,0.539
HAT-P-39 b,17.609,6430.0,1.625,1.404
HAT-P-40 b,17.03768,6080.0,1.94,1.03
HAT-P-41 b,22.97845,6390.0,2.05,2.56
WASP-42 b,12.576498,5315.0,0.892,0.951
Kepler-751 b,2.46,5387.0,0.84,0.87
WASP-49 b,12.44199,5600.0,0.97,0.92
WASP-55 b,14.72860064,6096.0,1.09,1.071
WASP-61 b,15.80469,6250.0,1.55,1.82
WASP-62 b,14.79588,6230.0,1.23,1.11
WASP-63 b,15.80469,5550.0,1.86,1.28
WASP-66 b,15.6926,6600.0,1.76,1.33
WASP-67 b,12.89035,5200.0,0.88,0.91
HAT-P-38 b,9.247,5330.0,0.923,0.886
WTS-1 b,16.7,6250.0,1.15,1.2
WASP-54 b,17.71022,6100.0,1.76,1.08
WASP-56 b,10.53646,5600.0,0.96,0.71
WASP-57 b,11.76945,5600.0,0.927,0.886
WASP-52 b,14.24,5000.0,0.79,0.87
WASP-58 b,16.02887,5800.0,1.22,1.06
WASP-59 b,8.687,4650.0,0.613,0.719
WASP-60 b,9.86392,5900.0,1.17,1.19
WASP-64 b,14.247,5400.0,1.058,1.004
WASP-72 b,14.45961,6250.0,2.18,2.78
WASP-80 b,11.197791,4143.0,0.586,0.577
WASP-71 b,13.22662,6050.0,1.82,0.76
PH1 b,6.18,6407.0,1.734,1.528
KELT-3 b,17.48604,6304.0,1.7,1.96
Kepler-78 b,1.201,5058.0,0.7475,0.779
POTS-1 b,10.548,4400.0,0.588,0.695
HATS-3 b,15.48,6351.0,1.404,1.209
WASP-65 b,12.464,5600.0,1.01,0.93
WASP-75 b,14.235,6100.0,1.26,1.14
HAT-P-42 b,14.348,5743.0,1.53,1.178
HAT-P-43 b,13.63,5693.0,1.08,1.03
WISEP J121756.91+162640.2 A b,10.468,575.0,0.091,0.029
CoRoT-27 b,11.287,5900.0,1.08,1.05
WASP-103 b,17.127,6110.0,1.436,1.22
KELT-6 b,14.5717,6102.0,1.73,1.42
Kepler-413 b,4.347,4700.0,0.7761,0.82
HAT-P-49 b,17.82231,6820.0,2.06,2.22
WTS-2 b,15.277867,5000.0,0.752,0.82
WASP-68 b,14.79588,5910.0,1.79,1.49
WASP-73 b,15.91678,6030.0,2.55,2.52
WASP-88 b,16.36514,6430.0,1.8,0.94
WASP-95 b,13.78707,5830.0,1.23,1.46
WASP-96 b,13.45,5540.0,1.05,1.06
WASP-97 b,12.77826,5640.0,1.08,1.18
WASP-98 b,12.823096,5473.0,0.741,0.809
WASP-99 b,11.43318,6150.0,1.64,1.21
WASP-100 b,14.90797,6900.0,1.57,0.77
WASP-101 b,16.02887,6380.0,1.31,1.41
CoRoT-25 b,12.11,6040.0,1.19,1.09
CoRoT-26 b,14.12,5590.0,1.79,1.09
HAT-P-44 b,13.922,5295.0,0.949,0.942
HAT-P-45 b,15.984,6330.0,1.319,1.259
HAT-P-46 b,14.392,6120.0,1.396,1.284
HATS-5 b,10.223,5304.0,0.871,0.936
CoRoT-24 b,3.7,4950.0,0.86,0.91
CoRoT-24 c,5.0,4950.0,0.86,0.91
HATS-4 b,11.433,5403.0,0.925,1.001
CoRoT-22 b,4.88,5939.0,1.136,1.099
Kepler-412 b,15.031269,5750.0,1.287,1.167
WASP-117 b,11.88154,6040.0,1.22,1.29
WASP-104 b,12.745,5475.0,0.963,1.076
WASP-106 b,12.10569916,6002.0,1.47,1.175
WASP-94 A b,17.71022,6170.0,1.48,1.67
WASP-69 b,11.21,4792.0,0.801,0.83
WASP-70 A b,13.047,5763.0,1.215,1.106
Kepler-289 d,3.03,5990.0,1.0,1.08
HIP 116454 b,2.469,5048.0,0.758,0.8
Kepler-755 b,1.76,5043.0,0.77,0.82
Kepler-445 d,1.25,3157.0,0.21,0.18
Kepler-1734 b,3.08851092,6061.0,0.97,1.05
WASP-82 b,18.15858,6480.0,2.1,1.48
K2-3 b,2.078,3844.0,0.546,0.549
K2-3 c,1.582,3844.0,0.546,0.549
K2-3 d,1.458,3844.0,0.546,0.549
CoRoT-28 b,10.704595,5150.0,1.78,1.01
CoRoT-29 b,10.0881,5260.0,0.9,0.97
HAT-P-54 b,10.581296,4390.0,0.617,0.645
HATS-6 b,11.186582,3724.0,0.57,0.574
Kepler-756 b,1.12,5282.0,0.79,0.82
2MASS J02192210-3925225 b,16.14096,3064.0,0.281,0.108
HATS-9 b,13.85,5599.0,1.56,1.1
HATS-10 b,10.861521,5880.0,1.105,1.101
KELT-7 b,17.9344,6768.0,1.81,1.76
HAT-P-55 b,14.84069045,5804.0,1.105,1.028
HATS-8 b,9.785457,5679.0,1.086,1.056
WASP-74 b,15.24424,5990.0,1.42,0.98
WASP-83 b,11.65736,5510.0,1.05,1.11
WASP-89 b,11.65736,5130.0,0.88,0.92
K2-4 b,2.1,4014.73,0.569359,0.635026
K2-5 b,1.91,3930.0,0.57,0.61
K2-5 c,2.26,3930.0,0.57,0.61
K2-6 b,2.5,5850.0,0.96,0.97
K2-7 b,4.03523305,5700.0,1.533,1.056
K2-8 b,3.58,4870.0,0.74,0.78
K2-9 b,2.25,3390.0,0.31,0.3
K2-19 b,6.59,5350.0,0.824,0.892
K2-19 c,3.88,5350.0,0.824,0.892
K2-10 b,3.773,5533.0,0.956,0.88
K2-11 b,7.55,5433.0,5.15,1.35
K2-12 b,2.44,5672.0,1.117,0.965
K2-13 b,1.89,5698.0,0.78,0.8
K2-14 b,4.81,3789.0,0.45,0.47
K2-15 b,2.48,5131.0,0.68,0.72
K2-16 b,2.02,4742.0,0.66,0.68
K2-16 c,2.54,4742.0,0.66,0.68
K2-17 b,2.23,4320.0,0.66,0.71
K2-18 b,2.37,3457.0,0.411,0.359
HAT-P-56 b,16.92559,6566.0,1.47,1.42
HD 219134 b,1.602,4699.0,0.778,0.81
HD 219134 c,1.511,4699.0,0.778,0.81
HD 219134 d,1.61,4699.0,0.778,0.81
HATS-13 b,13.585308,5523.0,0.887,0.962
HATS-14 b,11.646151,5346.0,0.933,0.967
KELT-8 b,18.15858,5754.0,1.46,0.81
K2-21 b,1.84,4222.06,0.646783,0.676023
K2-21 c,2.49,4222.06,0.646783,0.676023
Kepler-453 b,6.204,5527.0,0.833,0.944
HAT-P-57 b,19.50366,6330.0,1.85,2.77
GJ 1132 b,1.19151465,3229.0,0.2211,0.1945
Kepler-757 b,1.36,6014.0,1.13,1.08
HAT-P-50 b,14.437192,6280.0,1.698,1.273
HAT-P-51 b,13.50682174,5453.0,0.995,0.961
HAT-P-52 b,11.309881,5131.0,0.893,0.887
HAT-P-53 b,14.773462,5956.0,1.209,1.093
HD 219134 f,1.31,4699.0,0.778,0.81
WASP-135 b,14.5717,5675.0,0.96,0.98
Kepler-758 b,2.48,6228.0,1.42,1.16
KIC 3558849 b,6.9,6175.0,1.01,0.98
KIC 8540376 b,4.1,6474.0,1.26,1.04
KIC 8540376 c,2.4,6474.0,1.26,1.04
Kepler-759 b,2.27,5860.0,1.04,1.04
KIC 10525077 b,5.5,6091.0,1.01,1.01
K2-25 b,3.44,3207.0,0.2932,0.2634
K2-26 b,2.67,3785.0,0.52,0.56
WASP-76 b,20.78145022,6329.0,1.756,1.458
WASP-90 b,18.27067,6430.0,1.98,1.55
KELT-4 A b,19.044091,6206.0,1.603,1.201
KELT-14 b,19.537287,5720.0,1.52,1.239
KELT-15 b,19.50366,6003.0,1.78,2.06
K2-29 b,13.33871,5358.0,0.86,0.94
HATS-17 b,8.709393,5846.0,1.091,1.131
K2-30 b,11.646151,5425.0,0.844,0.9
KELT-10 b,15.681391,5948.0,1.209,1.112
TRAPPIST-1 b,1.116,2566.0,0.1192,0.0898
TRAPPIST-1 c,1.097,2566.0,0.1192,0.0898
K2-34 b,13.75,6168.0,1.42,1.16
WASP-119 b,15.6926,5650.0,1.2,1.02
WASP-124 b,13.89916,6050.0,1.02,1.07
WASP-129 b,10.42437,5900.0,0.9,1.0
WASP-133 b,13.56289,5700.0,1.44,1.16
Kepler-1647 b,11.8739,6210.0,1.7903,1.2207
HATS-25 b,14.12334,5715.0,1.107,0.994
HATS-26 b,19.61575,6071.0,2.04,1.299
HATS-27 b,16.8135,6438.0,1.74,1.415
HATS-28 b,13.383546,5498.0,0.922,0.929
HATS-29 b,14.022459,5670.0,1.073,1.032
HATS-30 b,13.170575,5943.0,1.061,1.093
Kepler-502 b,4.77,6125.0,1.22,1.15
WASP-121 b,19.52604438,6628.0,1.461,1.33
HATS-15 b,12.385945,5311.0,0.922,0.871
HATS-16 b,14.5717,5738.0,1.238,0.97
WASP-157 b,11.19,5772.0,1.1,1.06
K2-38 b,1.54,5731.0,1.06,1.03
K2-38 c,2.29,5731.0,1.06,1.03
HIP 41378 b,2.595,6320.0,1.273,1.16
HIP 41378 c,2.727,6320.0,1.273,1.16
HIP 41378 d,3.54,6320.0,1.273,1.16
HIP 41378 e,4.92,6320.0,1.273,1.16
HIP 41378 f,9.2,6320.0,1.273,1.16
WASP-113 b,15.793481,5890.0,1.608,1.318
